Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"1st Resource Credit Union","1st Resource Credit Union",Open,06/28/2012,,"5 to 9",1,AL
"1st Signature Lending",,Open,08/19/2016,,"20 to 99",1,IN
"1st Source Bank",,Open,01/23/2009,,"1,000 to 2,499",1,IN
"1st Source Corporation",,Open,02/02/2015,,"1,000 to 2,499",17,"CA, CO, FL, GA, IL, IN, KS, KY, MI, NC, NJ, OH, OR, PA, TN, TX, WI"
"1st State Bank",,Open,03/26/2020,,"20 to 99",1,MI
"1ST SUMMIT BANK",,Open,06/02/2017,,"100 to 499",16,PA
"1st United Services Credit Union",,Open,09/24/2018,,"100 to 499",1,CA
"21st Century Bank",,Open,07/16/2019,,"20 to 99",1,MN
"21st Mortgage Corporation",,Open,04/14/2011,,"500 to 999",1,TN
"252 BNY Trust Company (Pittsburgh)",,Terminated,10/22/2008,06/16/2011,"1,000 to 2,499",7,"CA, IL, MO, NY, PA, TX"
"252 BNY Trust Company NA",,Terminated,04/28/2008,08/11/2011,"1,000 to 2,499",2,"OK, TX"
"280 Securities LLC","280 Technologies, LLC",Open,01/29/2019,,"20 to 99",8,"CA, IL, NY, OR, WA"
"3 Mentors, Inc",,Open,11/04/2013,,"10 to 19",3,"GA, NC, OH"
"3 Red Trading LLC",,Open,09/19/2019,,"20 to 99",1,IL
"303 Proprietary Trading, LLC",,Open,05/20/2013,,"20 to 99",1,IL
"321 Albridge",,Open,10/02/2009,,"100 to 499",2,NJ
"321 Albridge (FL)",,Open,10/02/2009,,"100 to 499",2,"FL, NJ"
"321 Albridge Solutions Inc",,Terminated,03/14/2011,08/31/2011,"100 to 499",1,PA
"339 PFPC Trust Co.",,Terminated,11/22/2010,08/31/2011,"100 to 499",2,"DE, PA"
"340 BNY Mellon Investment Services (US) Inc (MA)",,Terminated,07/09/2010,08/31/2011,"2,500 to 4,999",5,"DE, MA, PA"
"352 DPM Mellon LLC",,Open,04/24/2008,,"100 to 499",1,NJ
"360 Federal Credit Union",,Open,12/16/2013,,"20 to 99",1,CT
"360 Mortgage Group, LLC",,Open,06/05/2013,,"20 to 99",1,TX
"360 Wealth Management, Inc",,Open,03/26/2012,,"5 to 9",1,AZ
"3642 - Corporate Office - Simon Property Group",,Terminated,12/18/2007,05/04/2016,"1,000 to 2,499",1,IN
"372 Lockwood Capital Management",,Terminated,09/17/2009,08/31/2011,"100 to 499",1,PA
"373 Lockwood Advisors",,Terminated,09/17/2009,08/31/2011,"20 to 99",1,PA
"381 Pershing LLC (FL)",,Open,06/05/2008,,"100 to 499",3,"FL, NJ"
"381 Pershing LLC (NJ)",,Open,06/05/2008,,"100 to 499",7,"CA, FL, IL, NJ, NY"
"3BS of KC, LLC","Krueger and James Insurance",Terminated,10/27/2016,12/26/2019,"10 to 19",1,MO
"3BS of KC, LLC.","Krueger and James Insurance Agency",Open,07/23/2013,,"10 to 19",1,MO
"3D Asset Management, Inc.",,Terminated,05/16/2014,07/22/2016,"10 to 19",1,CT
"3D Financial",,Open,11/15/2016,,"20 to 99",1,TN
"3G Capital Inc.",,Open,03/13/2019,,"20 to 99",1,NY
"3G Financial Services, LLC",,Open,12/28/2007,,"5 to 9",2,AZ
"3IC Research",,Open,06/08/2016,,"5 to 9",1,MA
"3Red Partners",,Open,03/07/2019,,"20 to 99",1,IL
"3Red Partners","3Red Partners",Terminated,12/15/2015,04/07/2019,"20 to 99",2,"IL, NY"
"3Red Trading LLC",3Red,Open,06/12/2012,,"20 to 99",2,"IL, NY"
"4 Ts LLC","Senior Lifestyle Solutions",Open,01/10/2008,,"5 to 9",2,AZ
"410  Tennessee Processing Center LLC (TN from Pgh)",,Terminated,05/19/2010,07/28/2011,"100 to 499",3,"PA, TN"
"42 North Partners, LLC",,Open,10/29/2014,,"10 to 19",1,MI
"4441 Resources LLC",,Terminated,04/09/2014,03/07/2015,"20 to 99",1,TX
"466 Pershing Advisor Solutions (FL)",,Open,10/02/2009,,"20 to 99",3,"FL, NJ"
"466 Pershing Advisor Solutions (NJ)",,Open,10/02/2009,,"100 to 499",2,NJ
"470 Claims LLC",,Open,10/06/2017,,"20 to 99",1,TX
"500 Startups",,Open,08/05/2015,,"20 to 99",2,CA
"503 Colson Services Corp",,Terminated,11/22/2010,08/11/2011,"100 to 499",1,PA
"55I LLC",55ip,Open,04/16/2019,,"20 to 99",1,MA
"57 Stars LLC",,Open,06/13/2017,,"20 to 99",1,DC
"590  and 972 MCM California",,Terminated,04/24/2008,03/02/2020,"2,500 to 4,999",3,CA
"590 Mellon Financial Services #1 (Chicago)",,Open,04/26/2008,,"1,000 to 2,499",1,IL
"590 Mellon Financial Services Corp #1 (Atlanta)",,Terminated,04/18/2008,08/11/2011,"1,000 to 2,499",1,GA
"590 Mellon Financial Services Corp #1 (Pgh for CA)",,Terminated,09/16/2009,08/31/2011,"1,000 to 2,499",3,"CA, PA"
"590 Mellon Financial Services Corp #1 (Texas)",,Terminated,04/18/2008,08/02/2019,"1,000 to 2,499",1,TX
"5Star Administrators, Inc.","aka: Uhlemeyer Services Administrators, Inc.",Open,09/08/2009,,"5 to 9",1,MO
"6 Degrees Health",,Open,07/18/2019,,"20 to 99",1,OR
"632 MBNA PW PA Services LLC",,Terminated,10/21/2009,06/09/2011,"100 to 499",5,PA
"643 Capital Management, Inc.",,Terminated,06/13/2017,09/04/2019,"20 to 99",1,CA
"66 Federal Credit Union",,Open,07/29/2008,,"100 to 499",4,"AR, KS, OK, TX"
"676 MBNA Institutional PA Services LLC  (Philly)",,Terminated,04/18/2008,03/02/2020,"5,000 to 9,999",1,PA
"68 Ventures, LLC",,Open,04/25/2017,,"10 to 19",1,AL
"680 MTONE (Everett)w/ 111, 339, 340, 181, 183, 410",,Terminated,04/21/2008,03/02/2020,"2,500 to 4,999",10,"DE, MA, PA, TN"
"680 MTONE Institutional Services LLC  & Standish 954 (Boston)",,Open,04/21/2008,,"1,000 to 2,499",1,MA
"685 is Fixed Income and Cash AM Services",,Terminated,01/27/2010,08/31/2011,"10 to 19",1,PA
"6elm Capital LP","6elm Capital LP",Open,11/14/2019,,"5 to 9",1,NY
"6elm Capital LP","6elm Capital LP",Terminated,10/23/2019,02/03/2020,"5 to 9",1,NY
"7 Mile Advisors LLC",,Open,03/28/2016,,"10 to 19",1,NC
"77TH STREET DEPOT FCU",,Open,09/17/2013,,"10 to 19",1,IL
"791 BNY Mellon, N.A (PA and CA from Pgh)",,Terminated,10/21/2009,08/11/2011,"20 to 99",3,"CA, PA"
7ParkData,,Open,01/21/2016,,"20 to 99",1,NY
"871/875/111 Dreyfus Corp / MBSC Securities Corp/The Bank of  New York/557 Newton/791/189 EACM/Urdang",,Open,04/21/2008,,"10,000 and over",6,"NY, PA"
"950 Shareowner Services + 121, 352, 340, 111",,Terminated,04/18/2008,02/15/2014,"2,500 to 4,999",11,"DC, FL, MI, NJ, NY, PA"
"972 Mellon Capital Management Corp",,Terminated,04/18/2008,07/28/2011,"100 to 499",1,CA
"972 Mellon Capital Management Corp (PA)",,Terminated,11/12/2009,07/28/2011,"20 to 99",2,"CA, PA"
"A & R Insurance Services","La Pine Insurance Center",Open,10/18/2013,,"5 to 9",1,OR
"A Best Financial Corporation",,Open,10/19/2015,,"5 to 9",1,MI
"A C Edwards, Inc.","Edwards and Company",Open,07/22/2011,,"20 to 99",2,"FL, NY"
"A DEPENDABLE INSURANCE",,Open,08/11/2009,,"5 to 9",1,NV
"A Heavenly Sonshine Service Co","A Heavenly Sonshine Service Co",Open,01/08/2018,,"2,500 to 4,999",1,TN
"A Mortgage Boutique",,Open,06/14/2019,,"5 to 9",1,TN
"A PLUS COVERAGE, INC.",,Open,10/02/2012,,"5 to 9",1,NY
"A PLUS FINANCIAL SERVICES, INC.",,Open,04/16/2013,,"20 to 99",1,GA
"A TO Z CHECK CASHING INC","A TO Z CHECK CASHING",Open,03/27/2012,,"5 to 9",1,SC
"A Watts Huckabee & Company, Inc.","Carolinas Insurance & Investment Group",Open,05/14/2012,,"10 to 19",1,SC
"A Williams Enterprises","The Angels Agency",Open,04/28/2016,,"5 to 9",1,GA
"A&D Funding, Inc.",,Terminated,01/12/2009,06/01/2012,"5 to 9",1,AZ
"A&D Mortgage LLC",,Open,07/09/2018,,"20 to 99",24,"CA, CO, FL, MN, NJ, PA, TX, VA"
"A&D Mortgage LLC",,Open,08/29/2018,,"100 to 499",1,FL
"A&I Insurance Services, Inc","A-Max Auto Insurance",Terminated,08/04/2015,09/01/2017,"5 to 9",1,TX
"A&I Insurance Services, Inc","A-MAX Auto Insurance",Open,04/10/2015,,"5 to 9",1,TX
"A&M ENTERPRISES LLC","UNITED CHECK CASHING",Open,06/16/2011,,"5 to 9",1,NY
"A+ Auto Insurance, Inc.","A+ Insurance",Open,01/14/2020,,"10 to 19",1,GA
"A+ CASHEXPRESS",,Open,03/25/2010,,"5 to 9",1,WA
"A+ FINANCIAL SERVICES INC",,Open,10/09/2012,,"20 to 99",1,GA
"A-1 Bonding & Enterprises Inc",,Open,05/26/2010,,"10 to 19",1,SC
"A-AAccess OnLine Payment Systems Inc","A-AAccess OnLine Payment Systems Inc.",Open,09/23/2016,,"5 to 9",1,GA
"A-G Administrators, Inc.",,Open,08/22/2014,,"20 to 99",1,PA
"A-G Administrators, LLC.",,Open,06/16/2017,,"20 to 99",1,PA
"A-l Financial Corp",,Open,07/08/2016,,"100 to 499",2,"AZ, CA"
"A-L FINANCIAL CORPORATE OFFICE",,Open,11/07/2007,,"100 to 499",11,"AZ, CA"
"A-Mark Precious Metals Inc",,Open,01/16/2016,,"20 to 99",2,"CA, NV"
"A-Max Auto Insurance",,Open,07/21/2014,,"100 to 499",1,TX
"A-Max Auto Insurance","A-Max Auto Insurance",Open,10/12/2017,,"500 to 999",1,TX
"A-Max Insurance Services, Inc","A-Max Auto Insurance",Open,06/04/2015,,"100 to 499",1,TX
"A-Plus Mortgage LLC",,Open,01/29/2016,,"10 to 19",1,RI
"A-Z TAX SERVICES INC",,Open,05/22/2015,,"5 to 9",1,NY
"A. F. Stager Inc.",,Open,08/09/2017,,"100 to 499",2,NY
"A. MONTAG & ASSOCIATES",,Open,02/10/2015,,"20 to 99",1,GA
"A. Patch Insurance Agency, Inc.",,Open,02/20/2012,,"10 to 19",1,SC
"A.C. Advisory Inc.",,Open,03/17/2011,,"5 to 9",1,IL
"A.I. King Insurance Agency, Inc.",,Open,11/10/2015,,"5 to 9",1,IN
"A.M. Best",,Open,07/24/2019,,"500 to 999",1,NJ
"A.M. Best Company, Inc.",,Open,12/14/2018,,"500 to 999",1,NJ
"A10 Capital, LLC",,Open,09/10/2015,,"20 to 99",1,ID
"A47 Service Co LLC",,Open,02/01/2019,,"20 to 99",1,IL
"AA LaRocco & Associates",,Open,02/09/2016,,"10 to 19",1,GA
"AA Payroll solutions, Inc.",,Open,09/09/2013,,"100 to 499",1,FL
"AAA Capital Investment, Inc.",,Open,03/12/2018,,"10 to 19",1,CA
"AAA Life Insurance Company",,Open,10/22/2013,,"100 to 499",1,NE
"AAA Northern California, Nevada & Utah",,Open,02/20/2015,,"2,500 to 4,999",96,"CA, NV, UT"
"AAA Northern California, Nevada and Utah",,Open,10/22/2008,,"5,000 to 9,999",2,"NV, UT"
"AAA Oregon/Idaho",,Open,06/20/2018,,"100 to 499",1,OR
"AAA Southern New England",,Terminated,01/06/2009,08/22/2011,"1,000 to 2,499",47,"CT, MA, RI"
"AAA Southern New England",,Open,08/17/2011,,"1,000 to 2,499",58,"CT, MA, RI"
"AAFMAA Wealth Management & Trust LLC",,Open,09/10/2018,,"20 to 99",1,VA
"AALL Insurance Group",,Open,12/18/2007,,"20 to 99",1,AZ
"Aardvark Trading LLC",,Open,09/05/2012,,"20 to 99",1,IL
"AAXY LLC","AAXY Mortgage",Open,03/07/2016,,"20 to 99",1,TX
"AAZ Enterprises Inc","The Merchant Solutions",Open,09/29/2015,,"10 to 19",1,CA
"Abacoa Insurance Group, Inc.",,Open,02/10/2011,,"20 to 99",1,FL
"Abacus Planning Group, Inc",,Open,03/24/2016,,"20 to 99",1,SC
"Abacus Planning Group, Inc.",,Open,05/29/2019,,"20 to 99",2,SC
"Abacus Planning Group, Inc.","Abacus Planning Group, Inc.",Open,11/08/2012,,"20 to 99",1,SC
"Abbeville Savings & Loan",,Open,07/15/2013,,"10 to 19",1,SC
"Abbl Insurance Agency Inc. dba State Farm Ins.",,Open,04/23/2008,,"5 to 9",1,AZ
"Abbott Laboratories Employees Credit Union",,Open,05/17/2016,,"20 to 99",7,IL
abc,"PLAY GROUP LLC",Open,10/03/2018,,"5 to 9",1,NY
"ABC Bail Bonds Inc",,Open,05/11/2017,,"20 to 99",10,"NJ, PA"
"Abercrombie, Simmons & Gillette, Inc.",,Open,02/10/2015,,"100 to 499",1,TX
"Aberdeen Asset Management Inc.",,Open,07/09/2008,,"100 to 499",1,PA
"ABFS Insurance Agency Inc","Grand General Insurance Agency",Open,11/10/2011,,"10 to 19",1,MI
"AbiBar Agency",,Open,04/03/2014,,"5 to 9",1,GA
"Abilene Teachers Federal Credit Union",,Open,04/08/2011,,"100 to 499",1,TX
"ABNB Federal Credit Union",,Open,02/14/2018,,"100 to 499",1,VA
"Above and Beyond",,Open,09/21/2018,,"500 to 999",1,NJ
"Abraaj North America LLC",,Open,04/02/2015,,"5 to 9",1,NY
"ABRAMS BISON INVESTMENTS, LLC",,Open,06/15/2018,,"10 to 19",1,MD
"Abrams Services, LLC",,Open,03/27/2015,,"5 to 9",1,AR
"ABS Billing Services, Inc.","Alaska Billing Services, Inc.",Open,10/03/2016,,"20 to 99",1,AK
"ABS Finance Company, LLC",,Open,05/04/2018,,"5 to 9",1,CA
"ABSALOM HOME HEALTH AGENCY LLC.","ABSALEM HOME HEALTH AGENCY LLC.",Open,01/17/2020,,"10 to 19",1,CA
"Absolute Advantage Insurance Services, LLC",,Open,07/14/2011,,"5 to 9",1,AZ
"Absolute Financial Inc","Absolute Financial",Open,07/13/2019,,"5 to 9",1,CA
"Absolute Mortgage Company, Inc.",,Open,07/26/2013,,"20 to 99",1,NC
"Absolute Resource Solutions",,Open,12/29/2009,,"20 to 99",1,NJ
"ABT Insurance Services Inc",,Open,02/17/2017,,"10 to 19",1,GA
"AC AUTOPAY LLC",,Open,03/02/2018,,"10 to 19",1,CO
"AC AUTOPAY LLC (JD9)",,Terminated,05/01/2015,06/13/2018,"20 to 99",1,CO
"ACA AML Stratagies, Inc.",,Terminated,04/27/2017,11/06/2019,"20 to 99",2,NJ
"ACAC, INC",,Open,10/21/2014,,"500 to 999",191,"AL, LA, MI, MS, OK, SC, TN, VA"
"Academic Healthplans Inc",,Terminated,02/05/2015,06/08/2016,"20 to 99",1,TX
"Academic HealthPlans, Inc.",,Open,11/30/2011,,"20 to 99",1,TX
"Academy Automobile Insurance Services, Inc","Academy Insurance Services",Open,11/15/2018,,"20 to 99",1,CA
"Academy Bank",,Open,11/13/2010,,"100 to 499",1,CO
"Academy Mortgage Corporation",,Open,08/07/2017,,"2,500 to 4,999",390,"AK, AL, AZ, CA, CO, DE, FL, GA, IA, ID, IL, IN, MA, MD, MI, MO, MS, MT, NC, NE, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, VT, WA"
"Academy Mortgage Corporation",,Open,02/13/2008,,"100 to 499",1,UT
"Academy Mortgage Corporation",,Open,03/19/2014,,"1,000 to 2,499",1,UT
"Academy Securities, Inc.",,Open,10/26/2016,,"20 to 99",50,"CA, NC, NY"
"Acadian Asset Management LLC",,Open,10/07/2014,,"100 to 499",1,MA
ACC,,Terminated,09/12/2008,03/02/2020,"2,500 to 4,999",1,CA
"Accardo Agency Inc.",,Open,07/15/2008,,"10 to 19",1,NY
"ACCC Insurance Company",,Open,03/10/2017,,"500 to 999",8,"AL, AZ, GA, TX"
"ACCC Insurance Company",,Open,03/08/2010,,"500 to 999",9,"AL, GA, LA, TX"
"Accelerated Adjusting LLC",,Open,03/18/2019,,"10 to 19",1,NC
"Accelerated Claims, Inc.",,Open,07/28/2010,,"20 to 99",1,GA
"ACCELERATED FINANCIAL SOLUTIONS LLC",,Open,06/28/2018,,"10 to 19",1,SC
"Accelevant Holdings LLC",,Open,04/24/2019,,"20 to 99",1,FL
"Accentra Credit Union",,Open,12/11/2007,,"20 to 99",1,MN
"Acceptance Home Mortgage, LLC",,Open,09/18/2017,,"20 to 99",1,IN
"Acceptance Insurance","First Acceptance",Open,11/07/2018,,"1,000 to 2,499",4,"AZ, CA, IL, TN"
"ACCEPTANCE LOAN COMPANY, INC.",,Open,03/21/2012,,"100 to 499",1,AL
"Acceptance Rentals Inc.",,Terminated,10/24/2013,04/21/2019,"20 to 99",1,GA
"Acceptnace Capital mortgage Corporation",,Open,12/05/2006,,"100 to 499",1,WA
"Accern Corporation","Accern Corporation",Open,05/31/2017,,"5 to 9",1,NY
"Access Bank",,Open,12/06/2019,,"100 to 499",1,NE
"Access Capital Group, Inc","Access Capital Group, Inc",Open,07/17/2017,,"10 to 19",1,AZ
"Access Capital, Inc.",,Open,04/10/2014,,"20 to 99",1,NY
"Access Community Credit Union",,Open,09/30/2009,,"20 to 99",1,TX
"Access Corporate Services, Inc.",,Open,06/24/2011,,"100 to 499",1,GA
"Access E Mortgage",,Open,03/02/2009,,"100 to 499",1,FL
"Access Group, Inc",,Open,03/09/2016,,"20 to 99",2,"DC, PA"
"Access Group, Inc.",,Open,01/26/2016,,"20 to 99",2,"DC, PA"
"ACCESS HEALTHCARE SERVICES USA LLC",,Open,03/27/2020,,"20 to 99",1,TX
"Access Loan Company Inc",,Open,07/05/2013,,"20 to 99",14,GA
"Access Management Services","Colorado Access",Open,01/19/2009,,"500 to 999",1,CO
"Access National Bank",,Terminated,08/09/2011,05/10/2016,"100 to 499",8,"FL, GA, IN, MD, MN, TN, VA, WV"
"Access National Bank",,Terminated,04/08/2016,05/17/2019,"100 to 499",24,"GA, IN, MD, MI, OH, TN, TX, VA"
"Access to Capital for Entrepreneurs",,Open,01/06/2015,,"10 to 19",1,GA
ACCESSbank,ACCESSbank,Open,10/22/2018,,"100 to 499",7,NE
"ACCESSBANK TEXAS",,Open,08/25/2017,,"20 to 99",1,TX
"AccessLex Institute",,Open,05/04/2017,,"20 to 99",1,DC
"Accident Fund Holdings, Inc.",,Open,12/14/2012,,"20 to 99",1,MI
"Accident Insurance Co. Inc.",,Open,05/06/2014,,"5 to 9",1,TN
"ACCION CHICAGO INC",,Open,02/17/2017,,"20 to 99",1,IL
"Accion New Mexico",,Open,08/27/2008,,"20 to 99",2,"AZ, NM"
"Acclaim Federal Credit Union",,Open,05/20/2013,,"10 to 19",1,NC
"Acclamation Insurance Management Services",,Open,04/05/2017,,"100 to 499",9,"CA, HI, IL"
"ACCLIVITY FINANCIAL LLC","ACCLIVITY FINANCIAL LLC",Open,04/20/2018,,"20 to 99",1,TN
"Accord Financial, Inc.",,Open,02/03/2012,,"20 to 99",1,SC
"Account Control Technology, Inc.",,Open,08/10/2016,,"20 to 99",1,CA
"Account Control Technology, Inc.",,Open,09/20/2010,,"100 to 499",4,"CA, OH, TX"
"Accountants International",,Terminated,12/22/2010,12/28/2010,"100 to 499",1,MD
"Accounting & Tax Professionals",,Open,12/08/2015,,"10 to 19",1,WA
"ACCOUNTING AND LEGAL NETWORK",,Open,08/28/2013,,"20 to 99",3,CA
"Accounting Economics & Appraisal Group, LLC",,Open,05/11/2012,,"10 to 19",1,AL
"Accounts Receivable Collections Inc.",ARCI,Terminated,06/25/2010,01/23/2012,"20 to 99",1,SC
"Accoutning Access",,Open,12/18/2007,,"20 to 99",1,AZ
"Accredited Investors",,Open,12/26/2019,,"20 to 99",1,MN
"Accredited Tax Inc.",,Open,04/23/2019,,"10 to 19",1,CA
"Accruit, LLC",ACCRUIT,Terminated,12/02/2014,02/06/2020,"10 to 19",1,CO
"Accufast Holdings LLC","Security Title Services",Open,05/29/2013,,"5 to 9",1,IN
"Accurate Recovery",,Open,12/29/2010,,"5 to 9",1,CA
"Accutech Systems",,Open,08/22/2016,,"20 to 99",1,IN
"Accutrust Mortgage, Inc",,Open,05/31/2011,,"20 to 99",13,"MA, NH, RI, VT"
"ACE American Insurance Company",,Open,11/22/2013,,"5,000 to 9,999",83,"AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NV, NY, OH, OR, PA, PR, TN, TX, VA, WA"
"Ace Cash Express",,Terminated,12/11/2007,09/09/2009,"100 to 499",1,AZ
"ACE Cash Express",,Open,07/22/2013,,"100 to 499",1,OK
"ACE Cash Express","ACE Cash Express - Central Region",Open,12/12/2012,,"100 to 499",57,"LA, TX"
"ACE Cash Express","ACE Cash Express - Dallas Region",Open,05/20/2014,,"100 to 499",101,TX
"ACE Cash Express","ACE Cash Express - Forth Worth Region",Open,05/20/2014,,"100 to 499",76,TX
"ACE Cash Express","ACE Cash Express - Mountain Region",Open,08/19/2013,,"100 to 499",85,"CO, IA, NE, WY"
"ACE Cash Express","ACE Cash Express - North & South Houston Region",Open,12/12/2012,,"100 to 499",134,TX
"ACE Cash Express","ACE Cash Express - Northeast Region",Open,12/12/2012,,"100 to 499",129,"DC, DE, MD, ME, PA, VA"
"ACE Cash Express","ACE Cash Express - San Diego Region",Open,12/13/2012,,"100 to 499",106,"AZ, CA, NV"
"ACE Cash Express",Corporate,Open,12/14/2012,,"100 to 499",116,TX
"ACE Cash Express Inc","ACE Cash Express - Mid West Region",Open,12/13/2012,,"100 to 499",61,"IN, OH"
"ACE Cash Express Inc.","ACE Cash Express - Mid-South Region",Open,12/30/2013,,"100 to 499",142,"AR, KS, LA, MN, MO, OK, TN, TX"
"Ace Cash Express Inc.","Ace Cash Express - South Texas Region",Open,06/15/2012,,"100 to 499",113,"NM, TX"
"ACE Cash Express Inc.","ACE Cash Express - Southeast Region",Open,12/12/2012,,"100 to 499",137,"FL, GA, NC, SC"
"Ace Cash Express Inc.","ACE Cash Express - Southwest Region",Open,08/27/2009,,"100 to 499",100,"AZ, CO, OR"
"Ace Cash Express Mountain Region","Ace Cash Express",Open,05/28/2012,,"100 to 499",7,"CO, KS, NE"
"ACE CASH EXPRESS, INC",,Terminated,10/22/2012,10/03/2013,"1,000 to 2,499",1786,TX
"ACE Cash Express, San Antonio Region","ACE Cash Express",Open,06/14/2012,,"100 to 499",2,"NM, TX"
"ACE Group",,Open,12/21/2011,,"1,000 to 2,499",51,"AZ, CA, CO, CT, DE, FL, GA, IL, IN, KS, LA, MA, MD, MI, NC, NJ, NY, OR, PA, TX, VA"
"ACE INA",,Terminated,04/17/2007,07/14/2011,"100 to 499",1,PA
"ACE Insurance Group","ACE Group",Terminated,08/12/2011,03/02/2020,"5,000 to 9,999",12,"CA, DE, FL, GA, IL, NY, PA, PR, TX"
"Ace Motor Acceptance Corporation",,Open,07/29/2013,,"20 to 99",1,NC
"Acentria, Inc",Acentria,Open,04/27/2016,,"100 to 499",4,FL
"ACF Mortgage, LLC.",,Open,07/16/2009,,"20 to 99",1,OH
"Achieva Credit Union",,Terminated,03/11/2016,04/13/2016,"100 to 499",1,FL
"ACIPCO Federal Credit Union",,Open,08/06/2012,,"10 to 19",1,AL
"Acme Financial, LLC","Check Cashing Store",Open,05/17/2012,,"5 to 9",1,NC
"ACME, LLC",,Open,04/07/2016,,"10 to 19",1,CA
"Acolade LLC",,Open,06/17/2014,,"5 to 9",1,NY
"Acoma Insurance Professionals LLC",,Open,05/13/2008,,"10 to 19",1,AZ
"Acopia Capital Group",,Terminated,01/27/2016,01/28/2016,"100 to 499",1,TN
"Acopia LLC",,Open,12/13/2013,,"100 to 499",23,"AL, FL, GA, KY, MO, NC, SC, TN, TX"
"Acopia LLC","Acopia LLC",Open,05/15/2019,,"100 to 499",6,TN
